0.079	0.332	0.229	0.159	0.267	0.567	0.086	0.138	0.094	0.059	0.485	0.188	0.066	0.307	0.038	0.443	0.126	0.339	0.902	0.6	0.363	0.198	0.0902	0.03136
0.081	0.316	0.22	0.182	0.245	0.559	0.098	0.127	0.091	0.058	0.511	0.218	0.06	0.338	0.038	0.475	0.113	0.316	0.902	0.6	0.363	0.198	0.0902	0.03136
0.081	0.3	0.212	0.195	0.227	0.545	0.12	0.12	0.089	0.056	0.529	0.256	0.056	0.352	0.039	0.51	0.104	0.288	0.901	0.599	0.362	0.1978	0.0901	0.03133
0.083	0.292	0.207	0.199	0.212	0.533	0.145	0.115	0.092	0.053	0.538	0.304	0.053	0.357	0.038	0.544	0.098	0.262	0.9	0.599	0.362	0.1976	0.09	0.03129
0.083	0.29	0.203	0.191	0.206	0.512	0.175	0.108	0.095	0.052	0.539	0.351	0.05	0.353	0.04	0.571	0.098	0.236	0.899	0.598	0.361	0.1974	0.0899	0.03126
0.084	0.295	0.198	0.18	0.203	0.492	0.206	0.104	0.097	0.052	0.535	0.399	0.047	0.341	0.04	0.594	0.102	0.21	0.896	0.596	0.36	0.1967	0.0896	0.03115
0.084	0.3	0.193	0.167	0.203	0.472	0.236	0.101	0.104	0.051	0.526	0.442	0.045	0.323	0.041	0.612	0.104	0.186	0.893	0.594	0.359	0.196	0.0893	0.03105
0.088	0.302	0.191	0.156	0.204	0.445	0.27	0.095	0.109	0.053	0.521	0.476	0.042	0.305	0.042	0.63	0.103	0.162	0.895	0.595	0.36	0.1965	0.0895	0.03112
0.093	0.297	0.187	0.144	0.196	0.429	0.302	0.09	0.111	0.055	0.511	0.505	0.043	0.286	0.044	0.646	0.104	0.142	0.898	0.597	0.361	0.1971	0.0898	0.03122
0.098	0.295	0.181	0.133	0.19	0.402	0.341	0.084	0.113	0.056	0.5	0.532	0.04	0.265	0.046	0.656	0.103	0.129	0.9	0.599	0.362	0.1976	0.09	0.03129
0.104	0.304	0.174	0.131	0.19	0.38	0.375	0.082	0.116	0.054	0.484	0.544	0.04	0.244	0.047	0.668	0.106	0.116	0.902	0.6	0.363	0.198	0.0902	0.03136
0.111	0.328	0.17	0.13	0.194	0.355	0.41	0.081	0.134	0.052	0.467	0.561	0.038	0.224	0.054	0.677	0.118	0.105	0.904	0.602	0.364	0.1985	0.0904	0.03143
0.121	0.365	0.167	0.129	0.201	0.332	0.44	0.081	0.167	0.053	0.45	0.579	0.038	0.203	0.064	0.691	0.14	0.099	0.905	0.602	0.364	0.1987	0.0905	0.03147
0.127	0.409	0.162	0.123	0.21	0.309	0.467	0.081	0.223	0.049	0.435	0.539	0.037	0.18	0.081	0.696	0.17	0.092	0.906	0.603	0.364	0.1989	0.0906	0.0315
0.133	0.45	0.158	0.118	0.216	0.284	0.488	0.081	0.291	0.051	0.412	0.597	0.036	0.161	0.112	0.701	0.212	0.088	0.907	0.604	0.365	0.1991	0.0907	0.03154
0.14	0.488	0.161	0.114	0.225	0.262	0.509	0.083	0.362	0.055	0.395	0.604	0.037	0.144	0.156	0.702	0.257	0.086	0.905	0.602	0.364	0.1987	0.0905	0.03147
0.144	0.52	0.156	0.11	0.228	0.247	0.518	0.083	0.426	0.058	0.377	0.617	0.038	0.124	0.216	0.729	0.313	0.081	0.903	0.601	0.363	0.1982	0.0903	0.0314
0.149	0.54	0.152	0.102	0.232	0.233	0.532	0.08	0.474	0.063	0.363	0.617	0.036	0.108	0.283	0.701	0.354	0.077	0.904	0.602	0.364	0.1985	0.0904	0.03143
0.151	0.556	0.15	0.101	0.238	0.224	0.54	0.079	0.511	0.073	0.352	0.618	0.037	0.098	0.358	0.704	0.403	0.078	0.905	0.602	0.364	0.1987	0.0905	0.03147
0.154	0.566	0.145	0.103	0.24	0.217	0.551	0.08	0.537	0.087	0.346	0.624	0.037	0.089	0.434	0.707	0.457	0.076	0.907	0.604	0.365	0.1991	0.0907	0.03154
0.16	0.574	0.142	0.104	0.236	0.212	0.557	0.081	0.551	0.103	0.339	0.625	0.037	0.084	0.499	0.708	0.501	0.076	0.898	0.597	0.361	0.1971	0.0898	0.03122
0.164	0.582	0.137	0.105	0.236	0.209	0.562	0.081	0.562	0.12	0.337	0.63	0.039	0.08	0.549	0.713	0.546	0.076	0.897	0.597	0.361	0.1969	0.0897	0.03119
0.17	0.593	0.133	0.105	0.24	0.207	0.568	0.084	0.565	0.137	0.337	0.647	0.039	0.076	0.585	0.721	0.587	0.076	0.896	0.596	0.36	0.1967	0.0896	0.03115
0.175	0.602	0.132	0.106	0.248	0.205	0.575	0.089	0.57	0.149	0.331	0.635	0.042	0.075	0.607	0.716	0.612	0.076	0.898	0.597	0.361	0.1971	0.0898	0.03122
0.179	0.607	0.126	0.102	0.261	0.2	0.581	0.092	0.575	0.161	0.326	0.638	0.04	0.071	0.624	0.717	0.637	0.076	0.9	0.599	0.362	0.1976	0.09	0.03129
0.184	0.625	0.127	0.102	0.289	0.198	0.584	0.096	0.574	0.175	0.322	0.642	0.042	0.071	0.633	0.718	0.655	0.077	0.9	0.599	0.362	0.1976	0.09	0.03129
0.193	0.631	0.121	0.101	0.322	0.199	0.585	0.103	0.579	0.188	0.323	0.649	0.044	0.07	0.65	0.726	0.677	0.078	0.899	0.598	0.361	0.1974	0.0899	0.03126
0.203	0.639	0.118	0.101	0.362	0.197	0.59	0.107	0.577	0.197	0.32	0.65	0.045	0.067	0.652	0.729	0.684	0.077	0.901	0.599	0.362	0.1978	0.0901	0.03133
0.213	0.655	0.115	0.101	0.407	0.199	0.601	0.112	0.579	0.208	0.325	0.649	0.047	0.067	0.652	0.73	0.693	0.081	0.904	0.602	0.364	0.1985	0.0904	0.03143
0.22	0.661	0.115	0.101	0.446	0.203	0.596	0.111	0.577	0.218	0.327	0.65	0.048	0.067	0.656	0.728	0.695	0.08	0.904	0.602	0.364	0.1985	0.0904	0.03143
0.236	0.687	0.112	0.107	0.488	0.21	0.6	0.112	0.58	0.229	0.334	0.677	0.05	0.068	0.661	0.747	0.714	0.081	0.905	0.602	0.364	0.1987	0.0905	0.03147
0.241	0.693	0.11	0.115	0.512	0.216	0.596	0.109	0.581	0.241	0.34	0.657	0.048	0.07	0.666	0.739	0.71	0.079	0.902	0.6	0.363	0.198	0.0902	0.03136
0.248	0.711	0.11	0.132	0.546	0.218	0.604	0.104	0.579	0.249	0.347	0.653	0.046	0.07	0.664	0.737	0.72	0.079	0.899	0.598	0.361	0.1974	0.0899	0.03126
0.257	0.722	0.109	0.152	0.546	0.226	0.603	0.102	0.581	0.262	0.355	0.659	0.05	0.074	0.671	0.743	0.715	0.079	0.899	0.598	0.361	0.1974	0.0899	0.03126
0.269	0.737	0.108	0.185	0.555	0.232	0.606	0.099	0.581	0.272	0.362	0.658	0.048	0.076	0.671	0.74	0.714	0.077	0.9	0.599	0.362	0.1976	0.09	0.03129
0.28	0.757	0.108	0.233	0.563	0.236	0.607	0.099	0.583	0.284	0.369	0.662	0.051	0.079	0.677	0.756	0.739	0.076	0.899	0.598	0.361	0.1974	0.0899	0.03126
0.289	0.768	0.106	0.283	0.564	0.238	0.608	0.1	0.581	0.292	0.373	0.661	0.049	0.08	0.673	0.742	0.719	0.075	0.898	0.597	0.361	0.1971	0.0898	0.03122
0.3	0.786	0.105	0.339	0.575	0.242	0.615	0.1	0.581	0.304	0.376	0.666	0.052	0.082	0.678	0.749	0.726	0.074	0.898	0.597	0.361	0.1971	0.0898	0.03122
0.314	0.798	0.105	0.383	0.578	0.242	0.617	0.103	0.58	0.312	0.375	0.668	0.054	0.086	0.68	0.751	0.728	0.074	0.899	0.598	0.361	0.1974	0.0899	0.03126
0.337	0.815	0.106	0.419	0.586	0.239	0.621	0.106	0.586	0.325	0.379	0.672	0.057	0.085	0.689	0.753	0.733	0.076	0.898	0.597	0.361	0.1971	0.0898	0.03122
0.346	0.822	0.106	0.444	0.59	0.232	0.622	0.109	0.585	0.329	0.372	0.671	0.06	0.083	0.688	0.754	0.737	0.077	0.898	0.597	0.361	0.1971	0.0898	0.03122
0.361	0.823	0.105	0.445	0.589	0.227	0.619	0.113	0.584	0.333	0.365	0.667	0.065	0.081	0.685	0.75	0.732	0.081	0.899	0.598	0.361	0.1974	0.0899	0.03126
0.382	0.835	0.107	0.465	0.601	0.229	0.625	0.122	0.589	0.343	0.367	0.677	0.069	0.081	0.691	0.76	0.743	0.084	0.901	0.599	0.362	0.1978	0.0901	0.03133
0.404	0.845	0.105	0.473	0.604	0.23	0.628	0.127	0.587	0.346	0.375	0.678	0.076	0.081	0.694	0.762	0.742	0.09	0.898	0.597	0.361	0.1971	0.0898	0.03122
0.425	0.855	0.106	0.477	0.606	0.237	0.63	0.138	0.59	0.35	0.379	0.682	0.087	0.083	0.696	0.769	0.748	0.098	0.896	0.596	0.36	0.1967	0.0896	0.03115
0.439	0.848	0.105	0.48	0.605	0.248	0.627	0.153	0.582	0.35	0.388	0.678	0.102	0.086	0.692	0.762	0.741	0.111	0.895	0.595	0.36	0.1965	0.0895	0.03112
0.464	0.862	0.108	0.489	0.614	0.256	0.635	0.173	0.589	0.359	0.403	0.686	0.123	0.091	0.698	0.774	0.753	0.13	0.898	0.597	0.361	0.1971	0.0898	0.03122
0.476	0.861	0.107	0.492	0.616	0.269	0.639	0.193	0.592	0.36	0.415	0.693	0.147	0.094	0.704	0.776	0.754	0.151	0.899	0.598	0.361	0.1974	0.0899	0.03126
0.49	0.868	0.11	0.498	0.617	0.274	0.64	0.215	0.59	0.362	0.43	0.69	0.174	0.098	0.7	0.779	0.761	0.179	0.898	0.597	0.361	0.1971	0.0898	0.03122
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
